2019-12-09 Beacon Theatre, New York City, NY - /gig:2019-12-09-beacon-theatre-new-york-city-ny
2019-07-06 Summer Stage, Stone Pony (The), Asbury Park, NJ - /gig:2019-07-06-stone-pony-asbury-park-nj
2019-05-08 Paramount Theatre, Asbury Park, NJ - /gig:2019-05-08-paramount-theatre-asbury-park-nj
2019-05-04 Saban Theatre, Los Angeles, CA - /gig:2019-05-04-saban-theatre-los-angeles-ca
2018-12-13 Walter Kerr Theatre, New York City, NY - /gig:2018-12-13-walter-kerr-theatre-new-york-city-ny
2018-11-05 Hulu Theater At Madison Square Garden, New York City, NY - /gig:2018-11-05-hulu-theater-new-york-city-ny
2018-10-31 Walter Kerr Theatre, New York City, NY - /gig:2018-10-31-walter-kerr-theatre-new-york-city-ny
2018-10-30 Walter Kerr Theatre, New York City, NY - /gig:2018-10-30-walter-kerr-theatre-new-york-city-ny
2018-10-12 Walter Kerr Theatre, New York City, NY - /gig:2018-10-12-walter-kerr-theatre-new-york-city-ny
2018-10-03 Walter Kerr Theatre, New York City, NY - /gig:2018-10-03-walter-kerr-theatre-new-york-city-ny
2018-09-30 Beach, Sand Stage, Asbury Park, NJ - /gig:2018-09-30-beach-asbury-park-nj
2018-08-15 Walter Kerr Theatre, New York City, NY - /gig:2018-08-15-walter-kerr-theatre-new-york-city-ny
2018-07-21 Walter Kerr Theatre, New York City, NY - /gig:2018-07-21-walter-kerr-theatre-new-york-city-ny
2018-07-18 Madison Square Garden, New York City, NY - /gig:2018-07-18-madison-square-garden-new-york-city-ny
2018-06-27 Walter Kerr Theatre, New York City, NY - /gig:2018-06-27-walter-kerr-theatre-new-york-city-ny
2018-06-22 Walter Kerr Theatre, New York City, NY - /gig:2018-06-22-walter-kerr-theatre-new-york-city-ny
2018-06-19 Walter Kerr Theatre, New York City, NY - /gig:2018-06-19-walter-kerr-theatre-new-york-city-ny
2018-06-10 Radio City Music Hall, New York City, NY - /gig:2018-06-10-radio-city-music-hall-new-york-city-ny
2018-06-08 Walter Kerr Theatre, New York City, NY - /gig:2018-06-08-walter-kerr-theatre-new-york-city-ny
2018-05-10 Walter Kerr Theatre, New York City, NY - /gig:2018-05-10-walter-kerr-theatre-new-york-city-ny
2018-05-06 Paramount Theatre, Asbury Park, NJ - /gig:2018-05-06-paramount-theatre-asbury-park-nj
2018-04-23 Beacon Theatre, New York City, NY - /gig:2018-04-23-beacon-theatre-new-york-city-ny
2018-03-30 Walter Kerr Theatre, New York City, NY - /gig:2018-03-30-walter-kerr-theatre-new-york-city-ny
2018-03-21 Walter Kerr Theatre, New York City, NY - /gig:2018-03-21-walter-kerr-theatre-new-york-city-ny
2018-01-30 Walter Kerr Theatre, New York City, NY - /gig:2018-01-30-walter-kerr-theatre-new-york-city-ny
2018-01-23 Walter Kerr Theatre, New York City, NY - /gig:2018-01-23-walter-kerr-theatre-new-york-city-ny
2018-01-19 Walter Kerr Theatre, New York City, NY - /gig:2018-01-19-walter-kerr-theatre-new-york-city-ny
2018-01-11 Walter Kerr Theatre, New York City, NY - /gig:2018-01-11-walter-kerr-theatre-new-york-city-ny
2018-01-09 Walter Kerr Theatre, New York City, NY - /gig:2018-01-09-walter-kerr-theatre-new-york-city-ny
2017-12-20 Walter Kerr Theatre, New York City, NY - /gig:2017-12-20-walter-kerr-theatre-new-york-city-ny
2017-10-21 Walter Kerr Theatre, New York City, NY - /gig:2017-10-21-walter-kerr-theatre-new-york-city-ny
2017-10-11 Walter Kerr Theatre, New York City, NY - /gig:2017-10-11-walter-kerr-theatre-new-york-city-ny
2017-10-05 Walter Kerr Theatre, New York City, NY - /gig:2017-10-05-walter-kerr-theatre-new-york-city-ny
2017-10-04 Walter Kerr Theatre, New York City, NY - /gig:2017-10-04-walter-kerr-theatre-new-york-city-ny
2017-09-30 Air Canada Centre, Toronto, ON - /gig:2017-09-30-air-canada-centre-toronto-on
2017-09-15 Madison Square Garden, New York City, NY - /gig:2017-09-15-madison-square-garden-new-york-city-ny
2017-05-27 Count Basie Theatre, Red Bank, NJ - /gig:2017-05-27-count-basie-theatre-red-bank-nj
2017-04-22 Paramount Theatre, Asbury Park, NJ - /gig:2017-04-22-paramount-theatre-asbury-park-nj
2017-04-21 Paramount Theatre, Asbury Park, NJ - /gig:2017-04-21-paramount-theatre-asbury-park-nj
2016-11-07 Independence Hall, Philadelphia, PA - /gig:2016-11-07-independence-hall-philadelphia-pa
2016-09-09 Citizens Bank Park, Philadelphia, PA - /gig:2016-09-09-citizens-bank-park-philadelphia-pa
