band_id,band_url,band_name,num_performances
184,/relation:psychotic-blues-band,Psychotic Blues Band,1
185,/relation:r-e-m,R.E.M.,6
186,/relation:ramones,Ramones,0
187,/relation:the-rascals,The Rascals,1
188,/relation:the-red-bank-rockers,The Red Bank Rockers,8
189,/relation:the-red-hot-mammas,The Red Hot Mammas,4
190,/relation:the-remakes,The Remakes,0
191,/relation:the-revolution,The Revolution,1
192,/relation:the-rivertown-kids,The Rivertown Kids,0
193,/relation:the-rock-bottom-remainders,The Rock Bottom Remainders,1
194,/relation:the-rogues,The Rogues,6
195,/relation:the-rolling-stones,The Rolling Stones,3
196,/relation:the-roots,The Roots,4
197,/relation:the-rumour,The Rumour,0
198,/relation:run-d-m-c,Run-D.M.C.,0
199,/relation:the-sacred-hearts,The Sacred Hearts,1
200,/relation:sechaba-cultural-singers,Sechaba Cultural Singers,0
201,/relation:the-sensational-soul-cruisers,The Sensational Soul Cruisers,0
202,/relation:the-sessions-band,The Sessions Band,78
203,/relation:the-sessions-band-studio,The Sessions Band - Studio,0
204,/relation:the-sessions-band-tour,The Sessions Band - Tour,0
205,/relation:the-shakes,The Shakes,1
206,/relation:the-shirleys,The Shirleys,0
207,/relation:the-shots,The Shots,1
208,/relation:the-silver-bullet-band,The Silver Bullet Band,1
209,/relation:simon-garfunkel,Simon & Garfunkel,1
210,/relation:social-distortion,Social Distortion,1
211,/relation:solar-circus,Solar Circus,1
212,/relation:the-sonic-people,The Sonic People,3
213,/relation:soul-asylum,Soul Asylum,1
214,/relation:south-community-choir-of-asbury-park,South Community Choir of Asbury Park,2
215,/relation:southside-johnny-the-asbury-jukes,Southside Johnny & The Asbury Jukes,5
216,/relation:stand-and-deliver,Stand And Deliver,1
217,/relation:the-staple-singers,The Staple Singers,1
218,/relation:steel-mill,Steel Mill,59
219,/relation:steel-mill-retro,Steel Mill Retro,0
220,/relation:steve-earle-the-dukes,Steve Earle & The Dukes,1
221,/relation:stone-caravan,Stone Caravan,0
222,/relation:stone-hill-strings,Stone Hill Strings,0
223,/relation:stray-cats,Stray Cats,1
224,/relation:suicide,Suicide,0
225,/relation:the-sundance-blues-band,The Sundance Blues Band,21
226,/relation:the-swingin-medallions,The Swingin' Medallions,1
227,/relation:tcb-band,TCB Band,1
228,/relation:the-tangiers-blues-band,The Tangiers Blues Band,2
