artwork_id,artwork_url,artwork_name,date
97,19730612.htm,Take Me Out To The Ballgame,1973-06-12
98,19730613.htm,Broom County Memorial Arena 13 june 1973,1973-06-13
99,19730613_2.htm,BINGHAMPTON '73 (Version 2),1973-06-13
100,19730613_3.htm,Binghampton '73 (New Version) (Version 3),1973-06-13
101,19730718.htm,His early years 1973 - 1974,1973-07-18
102,19730731.htm,My Father`s Place,1973-07-31
103,19730731_2.htm,My Father's Place (Version 2),1973-07-31
104,19730731_3.htm,Roslyn WLIR Master Tape (Version 3),1973-07-31
105,19730731_4.htm,My Father's Place 1973 (Version 4),1973-07-31
106,19730731_5.htm,1973-07-31 My Father's Place (Great Dane Records - Follow That Dream Series nº 1,1973-07-31
107,19731031.htm,Before the Flood,1973-10-31
108,19731031_2.htm,"Bryn Mawr october 31 st, 1973(late show)(carlos B tape 3-3) (Version 2)",1973-10-31
109,19731031_3.htm,"Bryn Mawr october 31 st, 1973(late show)(carlos B tape 2-3) (Version 3)",1973-10-31
110,19731031_4.htm,"Bryn Mawr october 31 st, 1973(late show)(mjk5510 tape) (Version 4)",1973-10-31
111,19731117.htm,Electric surges free,1973-11-17
112,19731117_2.htm,walking the dog (Version 2),1973-11-17
113,19731125.htm,Amherst,1973-11-25
114,19731206.htm,Play the Tuba & run ...,1973-12-06
115,19731231.htm,ON THE RADIO - Recorded live at varius radio appearances,1973-12-31
116,19740105.htm,Introducing Rosie,1974-01-05
117,19740106.htm,Joe's Place '74 (Uber Series Vol. 21) [Soundboard],1974-01-06
118,19740106_2.htm,Uber Series 21 Joe's Place (Version 2),1974-01-06
119,19740106_3.htm,BOOGIE AT JOE'S PLACE (Version 3),1974-01-06
120,19740106_4.htm,Live From Joe's Place (Godfather) (Version 4),1974-01-06
121,19740106_5.htm,Joe's Place (Version 5),1974-01-06
122,19740112.htm,Joint in the Woods,1974-01-12
123,19740112_2.htm,RING OF FIRE (Version 2),1974-01-12
124,19740119.htm,Kent State Radio,1974-01-19
125,19740119_2.htm,Kent State University (Version 2),1974-01-19
126,19740119_3.htm,You Mean So Much To Me (Version 3),1974-01-19
127,19740125.htm,"Live from the Mosque in Richmond, Virgina. 25 January 1974",1974-01-25
128,19740129.htm,Live at Muthers Emporium - You Mean So Much TO Me,1974-01-29
129,19740201.htm,Allen Theatre 1974,1974-02-01
130,19740201_2.htm,1-2-74 Allen Theatre Cleveland (Version 2),1974-02-01
131,19740218.htm,And the band played(the swinging pig records),1974-02-18
132,19740218_2.htm,And the band played(the swinging pig records) version 2 (Version 2),1974-02-18
133,19740218_3.htm,And The Band Played (Version 3),1974-02-18
134,19740303.htm,Saint in the City,1974-03-03
135,19740303_2.htm,1974-03-03 Saint In The City (Version 2),1974-03-03
136,19740303_3.htm,Gaston Hall (Version 3),1974-03-03
137,19740303_4.htm,Gaston Hall (Version 4),1974-03-03
138,19740308.htm,KLOL Radio Houston Texas,1974-03-08
139,19740309.htm,The lost Radio Show,1974-03-09
140,19740309_2.htm,lost radio show (Version 2),1974-03-09
141,19740309_3.htm,The lost radio show(whoopy cat records) (Version 3),1974-03-09
142,19740309_4.htm,The complete Liberty Hall tapes(late show) (Version 4),1974-03-09
143,19740309_5.htm,The lost radio show-remastered (Version 5),1974-03-09
144,19740309_6.htm,HOUSTON '74 (Version 6),1974-03-09
145,19740309_7.htm,The Complete Liberty Hall Tapes (Version 7),1974-03-09
146,19740309_8.htm,KLOL-FM (Version 8),1974-03-09
147,19740310.htm,Liberty Hall,1974-03-10
148,19740310_2.htm,The complete Liberty Hall tapes vol 2(late show) (Version 2),1974-03-10
149,19740324.htm,Walking the Dog in Phoenix,1974-03-24
150,19740324_2.htm,The Inner-View(interview) (Version 2),1974-03-24
151,19740409.htm,Radio Waves,1974-04-09
152,19740409_2.htm,Charlie's Place (Version 2),1974-04-09
153,19740509.htm,Rock&Roll Punk,1974-05-09
154,19740509_2.htm,Feel the spirit(early show) (Version 2),1974-05-09
155,19740509_3.htm,Cambridge '74 (Version 3),1974-05-09
156,19740509_4.htm,Early show (Version 4),1974-05-09
157,19740509_5.htm,Harvard Square Theatre (Version 5),1974-05-09
158,19740509_6.htm,Harvard Square Theatre (Version 6),1974-05-09
159,19740602.htm,Live at the Toledo Agora - 2 June 1974,1974-06-02
160,19740603.htm,You Never Can Tell,1974-06-03
161,19740603_2.htm,And The E Street Band Played (Version 2),1974-06-03
162,19740603_3.htm,Where The Four Winds Blow (Version 3),1974-06-03
163,19740603_4.htm,and The e Street Band played (Version 4),1974-06-03
164,19740603_5.htm,Down Along The Jersey Shore (Version 5),1974-06-03
165,19740713.htm,No Money down,1974-07-13
166,19740713_2.htm,Watch the world explode (Version 2),1974-07-13
167,19740713_3.htm,The Bottom Line (Version 3),1974-07-13
168,19740713_4.htm,Live At The Bottom Line (Version 4),1974-07-13
169,19740713_5.htm,Bottom Line (Version 5),1974-07-13
170,19740714.htm,"The Bottom Line, New York, 14 July 1974",1974-07-14
171,19740922.htm,Kean College '74,1974-09-22
172,19741004.htm,Cupid in the City,1974-10-04
173,19741004_2.htm,Incident at Avery Fisher Hall (Version 2),1974-10-04
174,19741011.htm,"Jungleland, MD",1974-10-11
175,19741011_2.htm,Shady Grove Music Fair (Version 2),1974-10-11
176,19741012.htm,The Princeton Flood,1974-10-12
177,19741012_2.htm,Spanish Johnny and Puerto Rican Jane (Version 2),1974-10-12
178,19741018.htm,Does this Bus stop in Spanish Harlem ?,1974-10-18
179,19741018_2.htm,Spanish Harlem 74 (Version 2),1974-10-18
180,19741018_3.htm,Capitol Theatre (Version 3),1974-10-18
181,19741019.htm,New York City Serenade,1974-10-19
182,19741019_2.htm,Spanish Harlem (Version 2),1974-10-19
183,19741019_3.htm,Live at the Union College (Version 3),1974-10-19
184,19741019_4.htm,Spanish Harlem (Version 4),1974-10-19
185,19741019_5.htm,Incident at Union College (Fanatic) (Version 5),1974-10-19
186,19741026.htm,Back in School,1974-10-26
187,19741029.htm,Flesh and Fantasy,1974-10-29
188,19741029_2.htm,Walking Tall (Version 2),1974-10-29
189,19741029_3.htm,Walking tall vol 2 (Version 3),1974-10-29
190,19741029_4.htm,Music Hall (Version 4),1974-10-29
191,19741101.htm,Rip Up The Tower - Live In Philadelphia 74 (JEMS),1974-11-01
192,19741101_2.htm,Tower Theater (Version 2),1974-11-01
193,19741103.htm,Radio Station WMMR-FM Philadelphia,1974-11-03
194,19741103_2.htm,WMMR-FM (Version 2),1974-11-03
195,19741123.htm,Hard to be a Saint in Salem,1974-11-23
196,19741129.htm,I want you,1974-11-29
197,19741129_2.htm,From the Churches to the Jails (Version 2),1974-11-29
198,19741129_3.htm,War Memorial Theatre (Version 3),1974-11-29
199,19741206_2.htm,New Brunswick (Version 2),1974-12-06
200,19741206_3.htm,I'm So Glad To Be Home (Version 3),1974-12-06
201,19741207.htm,Geneva Theatre,1974-12-07
202,19741208.htm,Burlington ´74,1974-12-08
203,19741208_2.htm,burlington'74 (Version 2),1974-12-08
204,19750205.htm,Main Point Night,1975-02-05
205,19750205_2.htm,You can trust your Car to the Man who wears the Star (Version 2),1975-02-05
206,19750205_3.htm,Prodigal Son At The Main Point (Version 3),1975-02-05
207,19750205_4.htm,"The Saint, The Incident & The Main Point Shuffle (Version 4)",1975-02-05
208,19750205_5.htm,Prodigal Son At The Main Point (Version 5),1975-02-05
209,19750205_6.htm,Prodigal Son at the Main Point (Version 6),1975-02-05
210,19750205_7.htm,Prodigal son at The Main Point (Version 7),1975-02-05
211,19750205_8.htm,The Main Point (Version 8),1975-02-05
212,19750205_9.htm,The Prodigal Son Meets JEMS At The Main Point M+ (Version 9),1975-02-05
213,19750206.htm,This 442's gonna overheat,1975-02-06
214,19750207.htm,This 442`s gonna overheat,1975-02-07
215,19750207_2.htm,Widener College DVD (Version 2),1975-02-07
216,19750207_3.htm,"1975-02-07 Widener College, restored by MilesHai 150dpi DVD (Version 3)",1975-02-07
217,19750210.htm,We Had Too Much To Drink Tonight,1975-02-10
218,19750223.htm,Westbury Music Fair,1975-02-23
219,19750223_2.htm,Westbury Serenade (Version 2),1975-02-23
220,19750223_4.htm,The greatest performance (Version 4),1975-02-23
221,19750223_5.htm,Westbury Music Fair (Version 5),1975-02-23
222,19750223_6.htm,WESTBURY MUSIC FAIR (Version 6),1975-02-23
223,19750223_7.htm,The Westbury Music Fair (Version 7),1975-02-23
224,19750307.htm,At the Painters Mill,1975-03-07
225,19750308.htm,8 March 1975,1975-03-08
226,19750720.htm,Introducing Miami Steve van Zandt,1975-07-20
227,19750720_2.htm,A Star is Born (Godfather) (Version 2),1975-07-20
228,19750720_3.htm,Opening Night On The Born To Run Tour (Version 3),1975-07-20
229,19750720_5.htm,Ready To Run (Version 5),1975-07-20
230,19750720_6.htm,1975.07.20 Providence (Palace theatre) (Version 6),1975-07-20
231,19750722.htm,Geneva - 1975,1975-07-22
232,19750722_2.htm,Geneva Theater (Version 2),1975-07-22
233,19750723.htm,Lenox - 1975,1975-07-23
234,19750723_2.htm,The Complete Lenox Show (Version 2),1975-07-23
235,19750723_3.htm,The Complete Lennox Show (Version 3),1975-07-23
236,19750725.htm,Kutztown - 1975,1975-07-25
237,19750726.htm,Kutztown ´75,1975-07-26
238,19750726_2.htm,"The Wild, The Innocent & The Kutztown Shuffle (Version 2)",1975-07-26
239,19750728.htm,Rock`s new Sensation,1975-07-28
240,19750729.htm,Talent & Feeling,1975-07-29
241,19750801.htm,The Mosque - 1975,1975-08-01
242,19750801_2.htm,At The Mosque Theatre (Version 2),1975-08-01
243,19750802.htm,"Live at the Chrysler Theatre Norfolk, VA - 2 August 1975",1975-08-02
244,19750802_2.htm,Live In Norfolk '75 (Version 2),1975-08-02
245,19750808.htm,Incident in Akron,1975-08-08
246,19750810.htm,The Last Serenade,1975-08-10
247,19750810_2.htm,Allen Theatre (Version 2),1975-08-10
248,19750813.htm,"1975-08-13 Bottom Line, New York, NY, USA - Late Show (Original Master Series -",1975-08-13
249,19750813_2.htm,"1975-08-13 Bottom Line, New York, NY, USA - Late Show (Original Master Series -",1975-08-13
250,19750813_3.htm,"Bruce Springsteen & The E Street Band - 1975-08-13 - Bottom Line, NYC (late) - G",1975-08-13
251,19750814.htm,Runaway American Dreams (early Show),1975-08-14
252,19750814_2.htm,Runaway American Dreams (Version 2),1975-08-14
253,19750814_3.htm,Night(early show) (Version 3),1975-08-14
254,19750815.htm,The way it was,1975-08-15
255,19750815_2.htm,Live at the Bottom Line (Version 2),1975-08-15
256,19750815_3.htm,The Punk Meets The Godfather (Version 3),1975-08-15
257,19750815_4.htm,Down In The Bottom (Version 4),1975-08-15
258,19750815_5.htm,The Punks Meets The Godfather (Version 5),1975-08-15
259,19750815_6.htm,The Punk meets The Godfather (Version 6),1975-08-15
260,19750815_7.htm,The great white Boss(vinyl) (Version 7),1975-08-15
261,19750815_8.htm,The Way it was (Version 8),1975-08-15
262,19750815_9.htm,Vintage Broadcast 75 (Version 9),1975-08-15
263,19750816.htm,Up on the Roof,1975-08-16
264,19750816_2.htm,I was a thriller(early show) (Version 2),1975-08-16
265,19750817.htm,When they walk in the Room,1975-08-17
266,19750817_2.htm,From the coastline into the city (Version 2),1975-08-17
267,19750821.htm,"The Electric Ballroom, Atlanta GA - 21 August 1975",1975-08-21
268,19750823.htm,It`s gonna work out fine,1975-08-23
269,19750823_2.htm,It's Gonna Workout Fine (corrected) (Version 2),1975-08-23
270,19750823_3.htm,Sparks On The Ballroom (Version 3),1975-08-23
271,19750823_4.htm,Sparks On The Ballroom (Version 4),1975-08-23
272,19750906.htm,New Orleans - 1975,1975-09-06
273,19750906_2.htm,New Orleans Night (Version 2),1975-09-06
274,19750912.htm,Austin - 1975,1975-09-12
275,19750912_2.htm,AUSTIN 1975 (Version 2),1975-09-12
276,19750913.htm,Music Hall,1975-09-13
277,19750913_2.htm,Thank you Houston (Version 2),1975-09-13
278,19750913_3.htm,So Dark Tonight (Version 3),1975-09-13
279,19750916.htm,Dallas - 1975,1975-09-16
280,19750921.htm,Minneapolis Shuffle,1975-09-21
281,19750923.htm,Ann Arbor Saint,1975-09-23
282,19750923_2.htm,Birthday Boy in Ann Arbor (Version 2),1975-09-23
283,19750926.htm,Meeting across the River,1975-09-26
284,19750926_2.htm,Iowa Shuffle (Version 2),1975-09-26
285,19750926_3.htm,Live songs 1975 (Version 3),1975-09-26
286,19750926_4.htm,Iowa Rock City (Version 4),1975-09-26
287,19750926_5.htm,STAY COOL TONIGHT (Version 5),1975-09-26
288,19750926_6.htm,University Of Iowa (Ed Sciaky Archives) (Version 6),1975-09-26
289,19750927.htm,`Cause Tonight we got Style,1975-09-27
290,19750927_2.htm,'Cause tonight we got style - Whole Front (Version 2),1975-09-27
291,19750928.htm,Hey KC - can you catch us a Ride ?,1975-09-28
292,19750928_2.htm,Kansas City Shuffle (Version 2),1975-09-28
293,19751002.htm,before the bomb scare,1975-10-02
294,19751002_2.htm,The Milwaukee Bomb Scare Show (Version 2),1975-10-02
295,19751002_3.htm,We had too much to drink tonight (Version 3),1975-10-02
296,19751002_4.htm,Milwaukee (Version 4),1975-10-02
297,19751002_5.htm,Somebody Tried To Blow Us Up Tonight (JEMS) (Version 5),1975-10-02
298,19751004.htm,First Night in Detroit,1975-10-04
299,19751004_2.htm,Detroit (Version 2),1975-10-04
300,19751011.htm,The Homecoming,1975-10-11
301,19751011_2.htm,Red Bank (Version 2),1975-10-11
302,19751016.htm,Street Of Life,1975-10-16
303,19751017.htm,Ain`t Nobody here from Billboard Tonight ?,1975-10-17
304,19751017_2.htm,9009 West Sunset (Version 2),1975-10-17
305,19751017_3.htm,Backstreets (Version 3),1975-10-17
306,19751017_4.htm,Backstreets(On Stage Records) (Version 4),1975-10-17
307,19751017_5.htm,Down in Roxyland (Version 5),1975-10-17
308,19751017_6.htm,Down in Roxyland (Version 6),1975-10-17
309,19751017_7.htm,Live at the Roxy (Version 7),1975-10-17
310,19751017_8.htm,The Roxy 10.17.1975 late show (Version 8),1975-10-17
311,19751017_9.htm,The Roxy Theatre Night (Version 9),1975-10-17
312,19751018.htm,The late Show at the Roxy 18.10.75,1975-10-18
313,19751018_2.htm,"Going back 1975, the l0st show(early show) (Version 2)",1975-10-18
314,19751018_3.htm,The Roxy 10-18-75(late show) (Version 3),1975-10-18
315,19751019.htm,The Roxy,1975-10-19
316,19751019_2.htm,"Yes, we're talking to you (Version 2)",1975-10-19
317,19751026.htm,Meeting across the river,1975-10-26
318,19751026_2.htm,"Paramount Theatre, Seattle (Version 2)",1975-10-26
319,19751101.htm,That Thunder in your Heart,1975-11-01
